text,prediksi_label
Produk tersebut agak memuaskan banget.,positif
Menu terdiri dari 50 ribu rupiah.,netral
Kualitasnya terlalu rusak tolong perbaiki.,negatif
Produk tersebut benar-benar berantakan tidak recommended.,negatif
Pengirimannya benar-benar ribet parah.,negatif
Ini adalah kemarin sore.,netral
Produk tersebut lumayan membantu recommend banget.,positif
Fiturnya agak efisien recommend banget.,positif
Aplikasi ini agak jelek bikin emosi.,negatif
Pesanan datang pada merah dan biru.,netral
Pelayanan di sini sangat bagus mantap.,positif
Produk tersebut agak jelek sangat disayangkan.,negatif
Harganya sangat mengecewakan parah.,negatif
Menu terdiri dari plastik.,netral
Fiturnya agak rapi top markotop.,positif
Harganya cukup luar biasa sekali!,positif
Pengirimannya cukup rapi dan saya suka.,positif
Pelayanan di sini lumayan rapi banget.,positif
Saya membeli kemarin sore.,netral
Pesanan datang pada XL.,netral
Menu terdiri dari pusat kota.,netral
Makanan ini lumayan rapi mantap.,positif
Fiturnya terlalu mengecewakan parah.,negatif
Saya membeli hari senin.,netral
Aplikasi ini sangat buruk kapok.,negatif
Kualitasnya sungguh rusak kapok.,negatif
Harganya sekitar merah dan biru.,netral
Warna produk ini merah dan biru.,netral
Fiturnya cukup luar biasa banget.,positif
Pelayanan di sini sungguh mahal kapok.,negatif
Kualitasnya benar-benar mahal menyesal beli.,negatif
Pengirimannya benar-benar lambat sangat disayangkan.,negatif
Aplikasi ini agak cepat sekali!,positif
Harganya sekitar 8 pagi.,netral
Makanan ini cukup ramah recommend banget.,positif
Ini adalah plastik.,netral
Pelayanan di sini terlalu berantakan sangat disayangkan.,negatif
Pengirimannya cukup jelek tolong perbaiki.,negatif
Desainnya agak cepat mantap.,positif
Lokasinya ada di nasi dan ayam.,netral
Desainnya benar-benar ramah top markotop.,positif
Desainnya terlalu ribet kapok.,negatif
Kualitasnya lumayan tidak enak tolong perbaiki.,negatif
Produk tersebut lumayan bagus terbaik.,positif
Desainnya agak ribet tidak recommended.,negatif
Pesanan datang pada 8 pagi.,netral
Warna produk ini nasi dan ayam.,netral
Warna produk ini kemarin sore.,netral
Ini adalah pusat kota.,netral
Harganya lumayan berantakan bikin emosi.,negatif
Kualitasnya benar-benar bagus banget.,positif
Makanan ini cukup luar biasa sekali!,positif
Ini adalah 50 ribu rupiah.,netral
Hotelnya benar-benar rusak buang-buang uang.,negatif
Aplikasi ini agak buruk bikin emosi.,negatif
Harganya sangat bagus banget.,positif
Produk tersebut lumayan luar biasa mantap.,positif
Desainnya agak rusak menyesal beli.,negatif
Produk tersebut cukup luar biasa mantap.,positif
Harganya benar-benar tidak enak parah.,negatif
Harganya sangat bagus bikin betah.,positif
Pesanan datang pada pusat kota.,netral
Mereka buka jam merah dan biru.,netral
Produk tersebut lumayan jelek bikin emosi.,negatif
Pesanan datang pada 50 ribu rupiah.,netral
Ini adalah plastik.,netral
Ini adalah 50 ribu rupiah.,netral
Kualitasnya sangat lezat terbaik.,positif
Pelayanan di sini agak membantu top markotop.,positif
Produk tersebut cukup tidak enak menyesal beli.,negatif
Harganya sekitar versi terbaru.,netral
Fiturnya agak kasar buang-buang uang.,negatif
Aplikasi ini sangat tidak enak tidak recommended.,negatif
Pelayanan di sini benar-benar cepat banget.,positif
Warna produk ini pusat kota.,netral
Pelayanan di sini terlalu keren bikin betah.,positif
Hotelnya agak cepat bikin betah.,positif
Ukurannya adalah kemarin sore.,netral
Harganya sungguh ramah top markotop.,positif
Kualitasnya cukup mengecewakan parah.,negatif
Pengirimannya sangat rapi sekali!,positif
Hotelnya sungguh mahal buang-buang uang.,negatif
Pesanan datang pada 8 pagi.,netral
Hotelnya sungguh membantu terbaik.,positif
Fiturnya terlalu mengecewakan tolong perbaiki.,negatif
Aplikasi ini lumayan lambat tolong perbaiki.,negatif
Desainnya sungguh buruk bikin emosi.,negatif
Aplikasi ini sangat rapi sekali!,positif
Fiturnya sungguh cepat top markotop.,positif
Makanan ini benar-benar memuaskan top markotop.,positif
Makanan ini cukup mahal bikin emosi.,negatif
Kualitasnya lumayan ribet tidak recommended.,negatif
Hotelnya agak luar biasa top markotop.,positif
Ini adalah nasi dan ayam.,netral
Pelayanan di sini agak kasar menyesal beli.,negatif
Desainnya agak berantakan tolong perbaiki.,negatif
Fiturnya sungguh lezat top markotop.,positif
Harganya sekitar versi terbaru.,netral
Produk tersebut benar-benar lambat tolong perbaiki.,negatif
Kualitasnya agak tidak enak parah.,negatif
Fiturnya lumayan mahal sangat disayangkan.,negatif
Bahannya terbuat dari 50 ribu rupiah.,netral
Kualitasnya sungguh mengecewakan sangat disayangkan.,negatif
Pengirimannya terlalu ramah bikin betah.,positif
Harganya sekitar hari senin.,netral
Hotelnya lumayan rapi sekali!,positif
Pesanan datang pada hari senin.,netral
Desainnya cukup kasar kapok.,negatif
Ini adalah plastik.,netral
Makanan ini sangat kasar tolong perbaiki.,negatif
Aplikasi ini agak lezat sekali!,positif
Warna produk ini kemarin sore.,netral
Desainnya cukup jelek kapok.,negatif
Hotelnya cukup luar biasa recommend banget.,positif
Menu terdiri dari plastik.,netral
Ini adalah plastik.,netral
Kualitasnya benar-benar efisien banget.,positif
Warna produk ini merah dan biru.,netral
Kualitasnya lumayan efisien sekali!,positif
Harganya sekitar 8 pagi.,netral
Kualitasnya benar-benar kasar parah.,negatif
Kualitasnya sungguh efisien dan saya suka.,positif
Fiturnya terlalu berantakan buang-buang uang.,negatif
Fiturnya terlalu efisien terbaik.,positif
Ini adalah XL.,netral
Menu terdiri dari XL.,netral
Pengirimannya agak berantakan bikin emosi.,negatif
Pelayanan di sini cukup jelek sangat disayangkan.,negatif
Bahannya terbuat dari nasi dan ayam.,netral
Ini adalah nasi dan ayam.,netral
Pengirimannya benar-benar bagus recommend banget.,positif
Harganya sekitar kemarin sore.,netral
Ini adalah hari senin.,netral
Lokasinya ada di 8 pagi.,netral
Harganya terlalu mahal sangat disayangkan.,negatif
Kualitasnya benar-benar mengecewakan buang-buang uang.,negatif
Harganya sekitar pusat kota.,netral
Pengirimannya lumayan tidak enak bikin emosi.,negatif
Desainnya lumayan tidak enak tidak recommended.,negatif
Desainnya cukup lezat banget.,positif
Makanan ini sungguh efisien banget.,positif
Desainnya lumayan membantu top markotop.,positif
Makanan ini terlalu mengecewakan bikin emosi.,negatif
Pelayanan di sini terlalu memuaskan bikin betah.,positif
Mereka buka jam 8 pagi.,netral
Mereka buka jam nasi dan ayam.,netral
Pengirimannya sangat bagus recommend banget.,positif
Harganya sungguh mahal bikin emosi.,negatif
Pesanan datang pada pusat kota.,netral
Hotelnya lumayan lambat bikin emosi.,negatif
Harganya sungguh rapi mantap.,positif
Pengirimannya benar-benar rapi banget.,positif
Kualitasnya agak bagus recommend banget.,positif
Kualitasnya lumayan rusak parah.,negatif
Desainnya lumayan berantakan parah.,negatif
Kualitasnya lumayan jelek kapok.,negatif
Ini adalah nasi dan ayam.,netral
Saya membeli XL.,netral
Pelayanan di sini agak keren mantap.,positif
Pesanan datang pada 50 ribu rupiah.,netral
Pengirimannya terlalu keren banget.,positif
Pengirimannya benar-benar lezat sekali!,positif
Desainnya benar-benar buruk kapok.,negatif
Makanan ini benar-benar efisien dan saya suka.,positif
Produk tersebut lumayan cepat sekali!,positif
Makanan ini agak buruk parah.,negatif
Pesanan datang pada nasi dan ayam.,netral
Produk tersebut cukup mahal buang-buang uang.,negatif
Harganya sekitar hari senin.,netral
Kualitasnya terlalu rapi top markotop.,positif
Harganya sangat ribet parah.,negatif
Aplikasi ini benar-benar cepat sekali!,positif
Harganya agak jelek bikin emosi.,negatif
Bahannya terbuat dari plastik.,netral
Hotelnya agak membantu banget.,positif
Desainnya cukup lambat parah.,negatif
Makanan ini terlalu tidak enak menyesal beli.,negatif
Kualitasnya lumayan membantu top markotop.,positif
Desainnya agak jelek buang-buang uang.,negatif
Makanan ini benar-benar efisien dan saya suka.,positif
Bahannya terbuat dari pusat kota.,netral
Hotelnya sungguh ribet bikin emosi.,negatif
