text,label
Fiturnya sangat rusak tidak recommended.,negatif
Kualitasnya cukup jelek tidak recommended.,negatif
Produk tersebut sangat ramah sekali!,positif
Ini adalah plastik.,netral
Lokasinya ada di nasi dan ayam.,netral
Produk tersebut benar-benar cepat recommend banget.,positif
Bahannya terbuat dari nasi dan ayam.,netral
Pengirimannya sungguh mengecewakan tolong perbaiki.,negatif
Warna produk ini merah dan biru.,netral
Saya membeli nasi dan ayam.,netral
Menu terdiri dari kemarin sore.,netral
Ukurannya adalah nasi dan ayam.,netral
Pelayanan di sini agak rusak menyesal beli.,negatif
Menu terdiri dari versi terbaru.,netral
Ini adalah versi terbaru.,netral
Aplikasi ini sungguh cepat mantap.,positif
Harganya sekitar kemarin sore.,netral
Harganya terlalu memuaskan sekali!,positif
Hotelnya benar-benar lambat sangat disayangkan.,negatif
Aplikasi ini terlalu mahal bikin emosi.,negatif
Harganya sungguh mengecewakan menyesal beli.,negatif
Fiturnya sungguh buruk kapok.,negatif
Harganya sekitar nasi dan ayam.,netral
Ini adalah 8 pagi.,netral
Menu terdiri dari versi terbaru.,netral
Pelayanan di sini agak rapi terbaik.,positif
Produk tersebut lumayan buruk sangat disayangkan.,negatif
Mereka buka jam pusat kota.,netral
Hotelnya lumayan mahal buang-buang uang.,negatif
Bahannya terbuat dari versi terbaru.,netral
Produk tersebut terlalu jelek buang-buang uang.,negatif
Saya membeli 50 ribu rupiah.,netral
Produk tersebut sangat cepat dan saya suka.,positif
Makanan ini terlalu efisien recommend banget.,positif
Bahannya terbuat dari hari senin.,netral
Aplikasi ini lumayan berantakan parah.,negatif
Hotelnya sangat memuaskan dan saya suka.,positif
Desainnya sangat efisien dan saya suka.,positif
Pengirimannya lumayan ramah sekali!,positif
Desainnya sangat rapi bikin betah.,positif
Pengirimannya sangat tidak enak tolong perbaiki.,negatif
Mereka buka jam merah dan biru.,netral
Kualitasnya sungguh ramah terbaik.,positif
Produk tersebut cukup rapi top markotop.,positif
Desainnya cukup kasar bikin emosi.,negatif
Warna produk ini plastik.,netral
Ini adalah plastik.,netral
Pelayanan di sini terlalu efisien bikin betah.,positif
Harganya sungguh membantu mantap.,positif
Aplikasi ini lumayan jelek tidak recommended.,negatif
Ini adalah nasi dan ayam.,netral
Mereka buka jam nasi dan ayam.,netral
Ukurannya adalah nasi dan ayam.,netral
Warna produk ini pusat kota.,netral
Harganya terlalu efisien recommend banget.,positif
Fiturnya terlalu mengecewakan menyesal beli.,negatif
Pelayanan di sini sungguh keren mantap.,positif
Hotelnya sangat membantu mantap.,positif
Menu terdiri dari hari senin.,netral
Harganya sekitar 8 pagi.,netral
Desainnya lumayan ribet buang-buang uang.,negatif
Aplikasi ini cukup tidak enak bikin emosi.,negatif
Makanan ini agak jelek tolong perbaiki.,negatif
Makanan ini cukup mengecewakan kapok.,negatif
Harganya sungguh membantu recommend banget.,positif
Aplikasi ini benar-benar ribet parah.,negatif
Produk tersebut terlalu jelek bikin emosi.,negatif
Menu terdiri dari 50 ribu rupiah.,netral
Desainnya lumayan mahal parah.,negatif
Makanan ini sangat berantakan tolong perbaiki.,negatif
Harganya cukup jelek menyesal beli.,negatif
Produk tersebut lumayan luar biasa terbaik.,positif
Bahannya terbuat dari hari senin.,netral
Harganya sekitar merah dan biru.,netral
Makanan ini cukup mengecewakan buang-buang uang.,negatif
Aplikasi ini agak mengecewakan parah.,negatif
Fiturnya agak ribet sangat disayangkan.,negatif
